district,layout,area_m2,base_rent,furnished,age_days
praha6,2+kk,41,26000.0,,11
praha8,2+kk,91,35000.0,Částečně,11
praha9,1+kk,35,18500.0,Ne,11
praha3,5+kk,150,52000.0,,11
praha5,1+kk,25,13490.0,Částečně,11
praha2,4+1,114,49000.0,Ne,11
praha9,2+kk,50,25400.0,Částečně,11
praha4,2+kk,44,18000.0,Ano,11
praha6,2+kk,50,25000.0,,11
praha8,1+kk,34,18900.0,Částečně,11
praha9,1+1,42,19990.0,Částečně,11
praha10,1+kk,25,13500.0,Ano,12
praha9,3+kk,77,27000.0,Částečně,12
praha9,3+1,61,21500.0,,12
praha3,1+kk,32,23500.0,Ano,12
praha4,3+kk,140,40000.0,Ano,12
praha9,2+kk,42,19990.0,Částečně,12
praha10,1+1,25,14500.0,Ne,12
praha6,2+1,70,32000.0,,12
praha9,2+kk,53,26000.0,,12
praha3,1+1,50,25000.0,Ano,12
praha3,3+kk,60,26900.0,,12
praha9,2+kk,72,35000.0,,12
praha10,3+kk,87,35000.0,Částečně,12
praha4,3+kk,73,29500.0,,12
praha6,2+kk,66,26000.0,,12
praha5,2+kk,54,25300.0,Částečně,12
praha9,1+kk,29,17000.0,Ano,12
praha8,3+1,72,29990.0,Částečně,12
praha10,2+1,53,17500.0,Ne,12
praha4,1+kk,32,21000.0,Ano,12
praha10,2+1,52,23990.0,Částečně,12
praha6,1+kk,28,14500.0,Částečně,12
praha9,1+kk,33,17500.0,Ne,12
praha9,1+kk,35,20000.0,,12
praha2,2+kk,100,45000.0,Ne,12
praha6,3+1,112,42000.0,Částečně,12
praha4,3+kk,90,34000.0,Ano,12
praha8,3+1,78,29000.0,,12
praha10,2+kk,38,23000.0,Ano,12
praha1,3+kk,90,44000.0,Ano,12
praha6,1+kk,48,20000.0,Ano,12
praha5,2+kk,62,28000.0,Ne,12
praha6,2+kk,52,22000.0,,12
praha10,2+kk,39,23000.0,,12
praha2,4+kk,123,58000.0,Ne,12
praha10,2+kk,47,20000.0,Ano,12
praha9,1+kk,38,18900.0,Ne,12
praha9,3+1,70,22000.0,,12
praha8,3+kk,82,43000.0,Částečně,12
praha8,2+kk,50,24000.0,Částečně,12
praha3,1+kk,40,21000.0,,12
praha6,1+kk,24,18000.0,,12
praha9,2+kk,53,21000.0,Ano,12
praha10,1+1,35,18000.0,,12
praha2,6+,142,69000.0,Ne,12
praha4,2+1,60,24301.0,Ne,12
praha6,2+1,55,24000.0,Ano,12
praha2,3+1,120,65000.0,Ano,12
praha6,3+kk,96,38000.0,Ano,12
praha4,2+kk,43,19200.0,Ne,12
praha4,2+kk,79,28300.0,Ano,13
praha7,4+kk,85,40000.0,,13
praha8,2+kk,50,22000.0,Ano,13
praha5,3+kk,70,37800.0,Ano,13
praha8,3+kk,80,61500.0,Ano,13
praha7,1+1,40,16000.0,Ne,13
praha1,3+kk,77,38800.0,Ano,13
